story_id,character,source_text,situation,moral_conflict,broken_component,iks_principle,hope_message,distress_keywords,emotion_tags,distress_level,decision_taken,outcome,user_group,data_source
IKS_EXT_148,Hanuman,Ramayana,seeking purpose in life,faith vs logic,Pathways,karma yoga,"Through karma yoga, one can navigate seeking purpose in life and restore inner balance.","despair, faith, logic",despair,high,Decided to apply karma yoga to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_149,Sita,Ramayana,facing social discrimination,duty vs personal gain,Pathways,bhakti,"Through bhakti, one can navigate facing social discrimination and restore inner balance.","sadness, duty, personal gain",sadness,medium,Decided to apply bhakti to resolve the duty vs personal gain.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_150,Sita,Ramayana,feeling confused about career path,self-interest vs social good,Agency,dharma,"Through dharma, one can navigate feeling confused about career path and restore inner balance.","despair, self-interest, social good",despair,medium,Decided to apply dharma to resolve the self-interest vs social good.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_151,Sugriva,Ramayana,dealing with physical illness,attachment vs detachment,Goals,ahimsa,"Through ahimsa, one can navigate dealing with physical illness and restore inner balance.","sadness, attachment, detachment",sadness,high,Decided to apply ahimsa to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_152,Sugriva,Ramayana,facing a moral dilemma between family and duty,attachment vs detachment,Pathways,shanti,"Through shanti, one can navigate facing a moral dilemma between family and duty and restore inner balance.","fear, attachment, detachment",fear,medium,Decided to apply shanti to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_153,Hanuman,Ramayana,facing social discrimination,ambition vs contentment,Pathways,vairagya,"Through vairagya, one can navigate facing social discrimination and restore inner balance.","despair, ambition, contentment",despair,high,Decided to apply vairagya to resolve the ambition vs contentment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_154,Hanuman,Ramayana,struggling with poverty,hard work vs luck,Pathways,viveka,"Through viveka, one can navigate struggling with poverty and restore inner balance.","confusion, hard work, luck",confusion,high,Decided to apply viveka to resolve the hard work vs luck.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_155,Lakshmana,Ramayana,facing betrayal by a friend,integrity vs shortcut,Agency,dana,"Through dana, one can navigate facing betrayal by a friend and restore inner balance.","frustration, integrity, shortcut",frustration,low,Decided to apply dana to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_156,Hanuman,Ramayana,facing a moral dilemma between family and duty,integrity vs shortcut,Goals,karma yoga,"Through karma yoga, one can navigate facing a moral dilemma between family and duty and restore inner balance.","frustration, integrity, shortcut",frustration,medium,Decided to apply karma yoga to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_157,Lakshmana,Ramayana,balancing personal growth with social duty,self-interest vs social good,Pathways,vairagya,"Through vairagya, one can navigate balancing personal growth with social duty and restore inner balance.","helplessness, self-interest, social good",helplessness,high,Decided to apply vairagya to resolve the self-interest vs social good.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_158,Rama,Ramayana,struggling with addiction or bad habits,integrity vs shortcut,Agency,ahimsa,"Through ahimsa, one can navigate struggling with addiction or bad habits and restore inner balance.","moral tension, integrity, shortcut",moral tension,low,Decided to apply ahimsa to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_159,Sita,Ramayana,seeking purpose in life,fear vs courage,Agency,dharma,"Through dharma, one can navigate seeking purpose in life and restore inner balance.","sadness, fear, courage",sadness,medium,Decided to apply dharma to resolve the fear vs courage.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_160,Hanuman,Ramayana,facing a loss of a loved one,tradition vs innovation,Goals,kshama,"Through kshama, one can navigate facing a loss of a loved one and restore inner balance.","fear, tradition, innovation",fear,high,Decided to apply kshama to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_161,Rama,Ramayana,facing a loss of a loved one,ambition vs contentment,Goals,shanti,"Through shanti, one can navigate facing a loss of a loved one and restore inner balance.","helplessness, ambition, contentment",helplessness,high,Decided to apply shanti to resolve the ambition vs contentment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_162,Bharata,Ramayana,experiencing a crisis of faith,integrity vs shortcut,Goals,ahimsa,"Through ahimsa, one can navigate experiencing a crisis of faith and restore inner balance.","frustration, integrity, shortcut",frustration,high,Decided to apply ahimsa to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_163,Rama,Ramayana,feeling lonely in a crowd,truth vs convenience,Agency,daya,"Through daya, one can navigate feeling lonely in a crowd and restore inner balance.","moral tension, truth, convenience",moral tension,high,Decided to apply daya to resolve the truth vs convenience.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_164,Sugriva,Ramayana,seeking purpose in life,attachment vs detachment,Pathways,satya,"Through satya, one can navigate seeking purpose in life and restore inner balance.","despair, attachment, detachment",despair,medium,Decided to apply satya to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_165,Rama,Ramayana,facing betrayal by a friend,faith vs logic,Agency,karma yoga,"Through karma yoga, one can navigate facing betrayal by a friend and restore inner balance.","anxiety, faith, logic",anxiety,low,Decided to apply karma yoga to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_166,Lakshmana,Ramayana,seeking purpose in life,ambition vs contentment,Agency,daya,"Through daya, one can navigate seeking purpose in life and restore inner balance.","anger, ambition, contentment",anger,low,Decided to apply daya to resolve the ambition vs contentment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_167,Vibhishana,Ramayana,facing exhaustion and burnout,attachment vs detachment,Pathways,bhakti,"Through bhakti, one can navigate facing exhaustion and burnout and restore inner balance.","confusion, attachment, detachment",confusion,low,Decided to apply bhakti to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_168,Bharata,Ramayana,facing exhaustion and burnout,truth vs convenience,Goals,shanti,"Through shanti, one can navigate facing exhaustion and burnout and restore inner balance.","confusion, truth, convenience",confusion,medium,Decided to apply shanti to resolve the truth vs convenience.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_169,Rama,Ramayana,struggling with addiction or bad habits,tradition vs innovation,Agency,dharma,"Through dharma, one can navigate struggling with addiction or bad habits and restore inner balance.","fear, tradition, innovation",fear,medium,Decided to apply dharma to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_170,Rama,Ramayana,seeking purpose in life,hard work vs luck,Pathways,karma yoga,"Through karma yoga, one can navigate seeking purpose in life and restore inner balance.","fear, hard work, luck",fear,low,Decided to apply karma yoga to resolve the hard work vs luck.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_171,Rama,Ramayana,balancing personal growth with social duty,tradition vs innovation,Goals,daya,"Through daya, one can navigate balancing personal growth with social duty and restore inner balance.","anxiety, tradition, innovation",anxiety,low,Decided to apply daya to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_172,Bharata,Ramayana,facing social discrimination,truth vs convenience,Pathways,satya,"Through satya, one can navigate facing social discrimination and restore inner balance.","anxiety, truth, convenience",anxiety,medium,Decided to apply satya to resolve the truth vs convenience.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_173,Vibhishana,Ramayana,seeking purpose in life,tradition vs innovation,Agency,tapas,"Through tapas, one can navigate seeking purpose in life and restore inner balance.","moral tension, tradition, innovation",moral tension,medium,Decided to apply tapas to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_174,Jatayu,Ramayana,overcoming procrastination,ambition vs contentment,Goals,viveka,"Through viveka, one can navigate overcoming procrastination and restore inner balance.","frustration, ambition, contentment",frustration,medium,Decided to apply viveka to resolve the ambition vs contentment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_175,Sita,Ramayana,facing a loss of a loved one,ambition vs contentment,Agency,vairagya,"Through vairagya, one can navigate facing a loss of a loved one and restore inner balance.","despair, ambition, contentment",despair,high,Decided to apply vairagya to resolve the ambition vs contentment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_176,Vibhishana,Ramayana,handling success and ego,mercy vs justice,Pathways,satya,"Through satya, one can navigate handling success and ego and restore inner balance.","moral tension, mercy, justice",moral tension,high,Decided to apply satya to resolve the mercy vs justice.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_177,Sugriva,Ramayana,balancing personal growth with social duty,integrity vs shortcut,Agency,viveka,"Through viveka, one can navigate balancing personal growth with social duty and restore inner balance.","sadness, integrity, shortcut",sadness,medium,Decided to apply viveka to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_178,Sita,Ramayana,dealing with financial debt,forgiveness vs anger,Pathways,satya,"Through satya, one can navigate dealing with financial debt and restore inner balance.","fear, forgiveness, anger",fear,high,Decided to apply satya to resolve the forgiveness vs anger.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_179,Hanuman,Ramayana,dealing with anger and revenge,integrity vs shortcut,Pathways,viveka,"Through viveka, one can navigate dealing with anger and revenge and restore inner balance.","anger, integrity, shortcut",anger,high,Decided to apply viveka to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_180,Vibhishana,Ramayana,overcoming fear of death,tradition vs innovation,Pathways,karma yoga,"Through karma yoga, one can navigate overcoming fear of death and restore inner balance.","frustration, tradition, innovation",frustration,low,Decided to apply karma yoga to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_181,Sita,Ramayana,facing betrayal by a friend,self-interest vs social good,Goals,vairagya,"Through vairagya, one can navigate facing betrayal by a friend and restore inner balance.","grief, self-interest, social good",grief,medium,Decided to apply vairagya to resolve the self-interest vs social good.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_182,Sita,Ramayana,experiencing a crisis of faith,non-violence vs self-defense,Goals,kshama,"Through kshama, one can navigate experiencing a crisis of faith and restore inner balance.","anxiety, non-violence, self-defense",anxiety,high,Decided to apply kshama to resolve the non-violence vs self-defense.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_183,Rama,Ramayana,coping with aging,attachment vs detachment,Pathways,kshama,"Through kshama, one can navigate coping with aging and restore inner balance.","frustration, attachment, detachment",frustration,low,Decided to apply kshama to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_184,Lakshmana,Ramayana,dealing with physical illness,loyalty vs righteousness,Pathways,vairagya,"Through vairagya, one can navigate dealing with physical illness and restore inner balance.","helplessness, loyalty, righteousness",helplessness,low,Decided to apply vairagya to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_185,Vibhishana,Ramayana,facing exhaustion and burnout,non-violence vs self-defense,Agency,satya,"Through satya, one can navigate facing exhaustion and burnout and restore inner balance.","confusion, non-violence, self-defense",confusion,low,Decided to apply satya to resolve the non-violence vs self-defense.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_186,Lakshmana,Ramayana,facing exhaustion and burnout,faith vs logic,Goals,dharma,"Through dharma, one can navigate facing exhaustion and burnout and restore inner balance.","anger, faith, logic",anger,medium,Decided to apply dharma to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_187,Sita,Ramayana,overcoming traumatic past,loyalty vs righteousness,Pathways,daya,"Through daya, one can navigate overcoming traumatic past and restore inner balance.","helplessness, loyalty, righteousness",helplessness,high,Decided to apply daya to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_188,Bharata,Ramayana,managing family conflicts,tradition vs innovation,Goals,bhakti,"Through bhakti, one can navigate managing family conflicts and restore inner balance.","grief, tradition, innovation",grief,medium,Decided to apply bhakti to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_189,Bharata,Ramayana,managing family conflicts,hard work vs luck,Goals,shanti,"Through shanti, one can navigate managing family conflicts and restore inner balance.","frustration, hard work, luck",frustration,low,Decided to apply shanti to resolve the hard work vs luck.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_190,Rama,Ramayana,struggling with poverty,fear vs courage,Pathways,shanti,"Through shanti, one can navigate struggling with poverty and restore inner balance.","frustration, fear, courage",frustration,high,Decided to apply shanti to resolve the fear vs courage.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_191,Rama,Ramayana,balancing personal growth with social duty,non-violence vs self-defense,Goals,shanti,"Through shanti, one can navigate balancing personal growth with social duty and restore inner balance.","moral tension, non-violence, self-defense",moral tension,low,Decided to apply shanti to resolve the non-violence vs self-defense.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_192,Vibhishana,Ramayana,facing community isolation,fear vs courage,Goals,bhakti,"Through bhakti, one can navigate facing community isolation and restore inner balance.","frustration, fear, courage",frustration,high,Decided to apply bhakti to resolve the fear vs courage.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_193,Sugriva,Ramayana,dealing with public humiliation,forgiveness vs anger,Goals,shanti,"Through shanti, one can navigate dealing with public humiliation and restore inner balance.","anger, forgiveness, anger",anger,low,Decided to apply shanti to resolve the forgiveness vs anger.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_194,Lakshmana,Ramayana,seeking purpose in life,hard work vs luck,Agency,dana,"Through dana, one can navigate seeking purpose in life and restore inner balance.","anger, hard work, luck",anger,medium,Decided to apply dana to resolve the hard work vs luck.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_195,Vibhishana,Ramayana,facing ethical corruption in workplace,faith vs logic,Agency,satya,"Through satya, one can navigate facing ethical corruption in workplace and restore inner balance.","grief, faith, logic",grief,medium,Decided to apply satya to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_196,Rama,Ramayana,handling success and ego,duty vs personal gain,Goals,kshama,"Through kshama, one can navigate handling success and ego and restore inner balance.","fear, duty, personal gain",fear,medium,Decided to apply kshama to resolve the duty vs personal gain.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_197,Vibhishana,Ramayana,struggling with self-doubt,self-interest vs social good,Pathways,shanti,"Through shanti, one can navigate struggling with self-doubt and restore inner balance.","moral tension, self-interest, social good",moral tension,medium,Decided to apply shanti to resolve the self-interest vs social good.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_198,Jatayu,Ramayana,managing family conflicts,loyalty vs righteousness,Agency,vairagya,"Through vairagya, one can navigate managing family conflicts and restore inner balance.","moral tension, loyalty, righteousness",moral tension,high,Decided to apply vairagya to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_199,Jatayu,Ramayana,balancing personal growth with social duty,mercy vs justice,Pathways,satya,"Through satya, one can navigate balancing personal growth with social duty and restore inner balance.","sadness, mercy, justice",sadness,medium,Decided to apply satya to resolve the mercy vs justice.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_200,Rama,Ramayana,struggling with poverty,integrity vs shortcut,Pathways,karma yoga,"Through karma yoga, one can navigate struggling with poverty and restore inner balance.","confusion, integrity, shortcut",confusion,medium,Decided to apply karma yoga to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_201,Sanjaya,Bhagavad Gita,experiencing a crisis of faith,mercy vs justice,Agency,ahimsa,"Through ahimsa, one can navigate experiencing a crisis of faith and restore inner balance.","sadness, mercy, justice",sadness,high,Decided to apply ahimsa to resolve the mercy vs justice.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_202,Seeker,Bhagavad Gita,struggling with addiction or bad habits,patience vs impulse,Pathways,shanti,"Through shanti, one can navigate struggling with addiction or bad habits and restore inner balance.","anxiety, patience, impulse",anxiety,medium,Decided to apply shanti to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_203,Arjuna,Bhagavad Gita,facing community isolation,faith vs logic,Goals,ahimsa,"Through ahimsa, one can navigate facing community isolation and restore inner balance.","fear, faith, logic",fear,medium,Decided to apply ahimsa to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_204,Sanjaya,Bhagavad Gita,dealing with public humiliation,hard work vs luck,Agency,daya,"Through daya, one can navigate dealing with public humiliation and restore inner balance.","grief, hard work, luck",grief,medium,Decided to apply daya to resolve the hard work vs luck.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_205,Krishna,Bhagavad Gita,balancing personal growth with social duty,faith vs logic,Pathways,tapas,"Through tapas, one can navigate balancing personal growth with social duty and restore inner balance.","sadness, faith, logic",sadness,medium,Decided to apply tapas to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_206,Sadhaka,Bhagavad Gita,feeling confused about career path,patience vs impulse,Pathways,dana,"Through dana, one can navigate feeling confused about career path and restore inner balance.","fear, patience, impulse",fear,low,Decided to apply dana to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_207,Disciple,Bhagavad Gita,handling jealousy and envy,attachment vs detachment,Pathways,vairagya,"Through vairagya, one can navigate handling jealousy and envy and restore inner balance.","moral tension, attachment, detachment",moral tension,high,Decided to apply vairagya to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_208,Dhritarashtra,Bhagavad Gita,feeling confused about career path,attachment vs detachment,Agency,kshama,"Through kshama, one can navigate feeling confused about career path and restore inner balance.","sadness, attachment, detachment",sadness,high,Decided to apply kshama to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_209,Sadhaka,Bhagavad Gita,struggling with self-doubt,truth vs convenience,Pathways,vairagya,"Through vairagya, one can navigate struggling with self-doubt and restore inner balance.","anxiety, truth, convenience",anxiety,low,Decided to apply vairagya to resolve the truth vs convenience.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_210,Arjuna,Bhagavad Gita,overcoming procrastination,hard work vs luck,Agency,tapas,"Through tapas, one can navigate overcoming procrastination and restore inner balance.","fear, hard work, luck",fear,medium,Decided to apply tapas to resolve the hard work vs luck.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_211,Disciple,Bhagavad Gita,struggling with self-doubt,patience vs impulse,Agency,daya,"Through daya, one can navigate struggling with self-doubt and restore inner balance.","anxiety, patience, impulse",anxiety,low,Decided to apply daya to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_212,Sanjaya,Bhagavad Gita,struggling with self-doubt,loyalty vs righteousness,Pathways,viveka,"Through viveka, one can navigate struggling with self-doubt and restore inner balance.","anxiety, loyalty, righteousness",anxiety,high,Decided to apply viveka to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_213,Krishna,Bhagavad Gita,overcoming traumatic past,patience vs impulse,Pathways,dharma,"Through dharma, one can navigate overcoming traumatic past and restore inner balance.","helplessness, patience, impulse",helplessness,high,Decided to apply dharma to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_214,Sanjaya,Bhagavad Gita,facing betrayal by a friend,loyalty vs righteousness,Goals,satya,"Through satya, one can navigate facing betrayal by a friend and restore inner balance.","frustration, loyalty, righteousness",frustration,low,Decided to apply satya to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_215,Sadhaka,Bhagavad Gita,experiencing a crisis of faith,duty vs personal gain,Goals,shanti,"Through shanti, one can navigate experiencing a crisis of faith and restore inner balance.","despair, duty, personal gain",despair,low,Decided to apply shanti to resolve the duty vs personal gain.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_216,Disciple,Bhagavad Gita,struggling with addiction or bad habits,attachment vs detachment,Pathways,bhakti,"Through bhakti, one can navigate struggling with addiction or bad habits and restore inner balance.","fear, attachment, detachment",fear,medium,Decided to apply bhakti to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_217,Sadhaka,Bhagavad Gita,handling success and ego,attachment vs detachment,Goals,bhakti,"Through bhakti, one can navigate handling success and ego and restore inner balance.","moral tension, attachment, detachment",moral tension,medium,Decided to apply bhakti to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_218,Krishna,Bhagavad Gita,seeking purpose in life,truth vs convenience,Goals,bhakti,"Through bhakti, one can navigate seeking purpose in life and restore inner balance.","grief, truth, convenience",grief,medium,Decided to apply bhakti to resolve the truth vs convenience.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_219,Sadhaka,Bhagavad Gita,dealing with anger and revenge,forgiveness vs anger,Goals,karma yoga,"Through karma yoga, one can navigate dealing with anger and revenge and restore inner balance.","helplessness, forgiveness, anger",helplessness,medium,Decided to apply karma yoga to resolve the forgiveness vs anger.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_220,Disciple,Bhagavad Gita,handling success and ego,integrity vs shortcut,Pathways,ahimsa,"Through ahimsa, one can navigate handling success and ego and restore inner balance.","grief, integrity, shortcut",grief,low,Decided to apply ahimsa to resolve the integrity vs shortcut.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_221,Seeker,Bhagavad Gita,overcoming fear of death,attachment vs detachment,Pathways,kshama,"Through kshama, one can navigate overcoming fear of death and restore inner balance.","despair, attachment, detachment",despair,high,Decided to apply kshama to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_222,Seeker,Bhagavad Gita,feeling confused about career path,loyalty vs righteousness,Agency,viveka,"Through viveka, one can navigate feeling confused about career path and restore inner balance.","grief, loyalty, righteousness",grief,low,Decided to apply viveka to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_223,Krishna,Bhagavad Gita,dealing with financial debt,faith vs logic,Goals,bhakti,"Through bhakti, one can navigate dealing with financial debt and restore inner balance.","confusion, faith, logic",confusion,low,Decided to apply bhakti to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_224,Krishna,Bhagavad Gita,facing a moral dilemma between family and duty,hard work vs luck,Agency,shanti,"Through shanti, one can navigate facing a moral dilemma between family and duty and restore inner balance.","fear, hard work, luck",fear,medium,Decided to apply shanti to resolve the hard work vs luck.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_225,Disciple,Bhagavad Gita,facing ethical corruption in workplace,attachment vs detachment,Pathways,kshama,"Through kshama, one can navigate facing ethical corruption in workplace and restore inner balance.","confusion, attachment, detachment",confusion,low,Decided to apply kshama to resolve the attachment vs detachment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_226,Arjuna,Bhagavad Gita,dealing with financial debt,tradition vs innovation,Agency,ahimsa,"Through ahimsa, one can navigate dealing with financial debt and restore inner balance.","helplessness, tradition, innovation",helplessness,high,Decided to apply ahimsa to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_227,Disciple,Bhagavad Gita,dealing with financial debt,mercy vs justice,Agency,karma yoga,"Through karma yoga, one can navigate dealing with financial debt and restore inner balance.","fear, mercy, justice",fear,medium,Decided to apply karma yoga to resolve the mercy vs justice.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_228,Arjuna,Bhagavad Gita,coping with aging,faith vs logic,Goals,viveka,"Through viveka, one can navigate coping with aging and restore inner balance.","sadness, faith, logic",sadness,low,Decided to apply viveka to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_229,Sadhaka,Bhagavad Gita,facing exhaustion and burnout,duty vs personal gain,Agency,dana,"Through dana, one can navigate facing exhaustion and burnout and restore inner balance.","despair, duty, personal gain",despair,high,Decided to apply dana to resolve the duty vs personal gain.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_230,Disciple,Bhagavad Gita,feeling lonely in a crowd,faith vs logic,Agency,satya,"Through satya, one can navigate feeling lonely in a crowd and restore inner balance.","grief, faith, logic",grief,low,Decided to apply satya to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_231,Disciple,Bhagavad Gita,coping with aging,forgiveness vs anger,Goals,bhakti,"Through bhakti, one can navigate coping with aging and restore inner balance.","despair, forgiveness, anger",despair,low,Decided to apply bhakti to resolve the forgiveness vs anger.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_232,Sadhaka,Bhagavad Gita,facing ethical corruption in workplace,non-violence vs self-defense,Goals,kshama,"Through kshama, one can navigate facing ethical corruption in workplace and restore inner balance.","anxiety, non-violence, self-defense",anxiety,medium,Decided to apply kshama to resolve the non-violence vs self-defense.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_233,Sanjaya,Bhagavad Gita,facing community isolation,patience vs impulse,Goals,dharma,"Through dharma, one can navigate facing community isolation and restore inner balance.","frustration, patience, impulse",frustration,low,Decided to apply dharma to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
